Unnamed: 0,Entity,Code,Year,Electricity from wind - TWh,Electricity from hydro - TWh,Electricity from solar - TWh,Other renewables including bioenergy - TWh,Total renewable energy (TWh)
7176,Saudi Arabia,SAU,1999,0.0,0.0,0.0,0.0,0.0
7177,Saudi Arabia,SAU,2000,0.0,0.0,0.0,0.0,0.0
7178,Saudi Arabia,SAU,2001,0.0,0.0,0.0,0.0,0.0
7179,Saudi Arabia,SAU,2002,0.0,0.0,0.0,0.0,0.0
7180,Saudi Arabia,SAU,2003,0.0,0.0,0.0,0.0,0.0
7181,Saudi Arabia,SAU,2004,0.0,0.0,0.0,0.0,0.0
7182,Saudi Arabia,SAU,2005,0.0,0.0,0.0,0.0,0.0
7183,Saudi Arabia,SAU,2006,0.0,0.0,0.0,0.0,0.0
7184,Saudi Arabia,SAU,2007,0.0,0.0,0.0,0.0,0.0
7185,Saudi Arabia,SAU,2008,0.0,0.0,0.0,0.0,0.0
7186,Saudi Arabia,SAU,2009,0.0,0.0,0.0,0.0,0.0
7187,Saudi Arabia,SAU,2010,0.0,0.0,0.0,0.0,0.0
7188,Saudi Arabia,SAU,2011,0.0,0.0,0.01,0.0,0.02
7189,Saudi Arabia,SAU,2012,0.0,0.0,0.03,0.0,0.06
7190,Saudi Arabia,SAU,2013,0.0,0.0,0.04,0.0,0.08
7191,Saudi Arabia,SAU,2014,0.0,0.0,0.05,0.0,0.1
7192,Saudi Arabia,SAU,2015,0.0,0.0,0.05,0.0,0.1
7193,Saudi Arabia,SAU,2016,0.0,0.0,0.05,0.0,0.1
7194,Saudi Arabia,SAU,2017,0.0,0.0,0.07,0.0,0.14
7195,Saudi Arabia,SAU,2018,0.0,0.0,0.16,0.0,0.32
7196,Saudi Arabia,SAU,2019,0.01,0.0,0.21,0.0,0.44
7197,Saudi Arabia,SAU,2020,0.01,0.0,0.21,0.0,0.44
7527,South Africa,ZAF,1990,0.0,1.01,0.0,0.0,2.02
7528,South Africa,ZAF,1991,0.0,1.98,0.0,0.0,3.96
7529,South Africa,ZAF,1992,0.0,0.75200003,0.0,0.0,1.50400006
7530,South Africa,ZAF,1993,0.0,0.14600004,0.0,0.0,0.29200008
7531,South Africa,ZAF,1994,0.0,1.0739999,0.0,0.0,2.1479998
7532,South Africa,ZAF,1995,0.0,0.529,0.0,0.0,1.058
7533,South Africa,ZAF,1996,0.0,1.3189999,0.0,0.06,2.7579998
7534,South Africa,ZAF,1997,0.0,2.092,0.0,0.146,4.476
7535,South Africa,ZAF,1998,0.0,1.595,0.0,0.231,3.652
7536,South Africa,ZAF,1999,0.0,0.7259999,0.0,0.197,1.8459998
7537,South Africa,ZAF,2000,0.0,1.1,0.01,0.4775,3.175
7538,South Africa,ZAF,2001,0.0,1.72,0.01,0.4231,4.3062
7539,South Africa,ZAF,2002,0.0,2.08,0.01,0.4603,5.1006
7540,South Africa,ZAF,2003,0.01,0.83,0.01,0.4084,2.5168
7541,South Africa,ZAF,2004,0.01,0.95,0.02,0.3819,2.7238
7542,South Africa,ZAF,2005,0.01,1.33,0.02,0.4253,3.5706
7543,South Africa,ZAF,2006,0.01,2.9,0.02,0.4055,6.671
7544,South Africa,ZAF,2007,0.01,2.87,0.02,0.4305,6.661
7545,South Africa,ZAF,2008,0.02,1.26,0.02,0.4561,3.5122
7546,South Africa,ZAF,2009,0.03,1.45,0.02,0.4491,3.8982
7547,South Africa,ZAF,2010,0.03,1.14,0.03,0.3963,3.1925999999999997
7548,South Africa,ZAF,2011,0.04,3.06,0.08,0.412,7.184
7549,South Africa,ZAF,2012,0.04,1.02,0.09,0.4226,3.1452
7550,South Africa,ZAF,2013,0.04,1.1,0.24,0.4777,3.7154
7551,South Africa,ZAF,2014,1.07,1.8,1.07,0.364211,8.608422000000001
7552,South Africa,ZAF,2015,3.07,0.73,2.75,0.316528,13.733056
7553,South Africa,ZAF,2016,4.21,0.62,3.27,0.331492,16.862984
7554,South Africa,ZAF,2017,7.02,0.78,4.24,0.386364,24.852728
7555,South Africa,ZAF,2018,6.41,1.1,4.57,0.431334,25.022668
7556,South Africa,ZAF,2019,6.63,0.74,4.9,0.43014,25.40028
7557,South Africa,ZAF,2020,6.41,1.47,5.7,0.4097,27.9794
7644,South Korea,KOR,1990,0.0,4.683946,0.001,0.0,9.369892
7645,South Korea,KOR,1991,0.0,3.486046,0.001,0.0,6.974092
7646,South Korea,KOR,1992,0.0,3.097448,0.002,0.0,6.198896
7647,South Korea,KOR,1993,0.001,4.227549,0.002,0.0,8.461098
7648,South Korea,KOR,1994,0.001,2.346092,0.002,0.0,4.698184
7649,South Korea,KOR,1995,0.0,2.759923,0.002,0.25,6.023846
7650,South Korea,KOR,1996,0.0,2.424357,0.003,0.403,5.660714
7651,South Korea,KOR,1997,0.001,2.813992,0.003,0.078,5.791984
7652,South Korea,KOR,1998,0.002,4.279418,0.004,0.058,8.686835999999998
7653,South Korea,KOR,1999,0.005839,4.15926,0.004572,0.087,8.513341999999998
7654,South Korea,KOR,2000,0.02,4.01,0.01,0.079,8.237999999999998
7655,South Korea,KOR,2001,0.01,2.33,0.01,0.088,4.876
7656,South Korea,KOR,2002,0.01,3.23,0.01,0.179,6.857999999999999
7657,South Korea,KOR,2003,0.02,4.89,0.01,0.188,10.215999999999998
7658,South Korea,KOR,2004,0.05,4.31,0.01,0.2928692,9.325738399999999
7659,South Korea,KOR,2005,0.13,3.67,0.01,0.25981373,8.13962746
7660,South Korea,KOR,2006,0.24,3.47,0.03,0.24129018,7.96258036
7661,South Korea,KOR,2007,0.38,3.63,0.07,0.38390425,8.9278085
7662,South Korea,KOR,2008,0.44,3.07,0.28,0.6530758,8.8861516
7663,South Korea,KOR,2009,0.69,2.81,0.57,0.5390645,9.218129000000001
7664,South Korea,KOR,2010,0.82,3.68,0.77,0.417752,11.375504
7665,South Korea,KOR,2011,0.86,4.6,0.92,1.0193447,14.7986894
7666,South Korea,KOR,2012,0.91,3.97,1.13,2.1562583,16.332516599999998
7667,South Korea,KOR,2013,1.15,4.29,1.67,3.1209614,20.4619228
7668,South Korea,KOR,2014,1.15,2.75,2.69,6.301323,25.782646
7669,South Korea,KOR,2015,1.34,2.15,4.23,7.479414,30.398828
7670,South Korea,KOR,2016,1.68,2.85,5.52,8.079599,36.259198
7671,South Korea,KOR,2017,2.17,2.81,7.74,9.610962,44.661924
7672,South Korea,KOR,2018,2.46,3.36,10.17,11.814518,55.609036
7673,South Korea,KOR,2019,2.68,2.79,14.19,13.350539,66.021078
7674,South Korea,KOR,2020,3.15,3.88,19.34,14.033809,80.807618
7779,Spain,ESP,1990,0.01,25.47,0.01,0.54,52.06
7780,Spain,ESP,1991,0.01,27.25,0.01,0.54,55.62
7781,Spain,ESP,1992,0.1,18.92,0.01,0.57,39.20000000000001
7782,Spain,ESP,1993,0.12,24.42,0.01,0.58,50.260000000000005
7783,Spain,ESP,1994,0.17,28.24,0.01,0.64,58.12
7784,Spain,ESP,1995,0.27,23.08,0.02,1.01,48.76
7785,Spain,ESP,1996,0.36,39.79,0.02,1.08,82.5
7786,Spain,ESP,1997,0.74,34.75,0.02,1.46,73.94000000000001
7787,Spain,ESP,1998,1.35,33.99,0.02,1.53,73.78000000000002
7788,Spain,ESP,1999,2.74,22.82,0.03,1.62,54.42000000000001
7789,Spain,ESP,2000,4.73,28.26,0.01,1.49,68.98
7790,Spain,ESP,2001,6.76,40.89,0.02,1.63,98.6
7791,Spain,ESP,2002,9.34,21.22,0.02,2.59,66.34
7792,Spain,ESP,2003,12.07,40.48,0.02,3.18,111.5
7793,Spain,ESP,2004,15.7,31.08,0.02,3.33,100.26
7794,Spain,ESP,2005,21.18,18.39,0.05,2.65,84.54
7795,Spain,ESP,2006,23.3,25.96,0.12,2.77,104.30000000000001
7796,Spain,ESP,2007,27.57,27.31,0.52,2.9,116.6
7797,Spain,ESP,2008,32.95,23.36,2.58,3.26,124.3
7798,Spain,ESP,2009,38.12,26.41,6.06,3.49,148.16
7799,Spain,ESP,2010,44.27,42.3,7.19,4.01,195.54
7800,Spain,ESP,2011,42.92,30.6,9.4,4.61,175.06000000000003
7801,Spain,ESP,2012,49.47,20.55,11.97,4.98,173.94
7802,Spain,ESP,2013,55.64,36.87,13.1,5.8,222.81999999999996
7803,Spain,ESP,2014,52.01,39.17,13.67,5.41,220.52
7804,Spain,ESP,2015,49.32,28.14,13.86,5.76,194.16
7805,Spain,ESP,2016,48.9,36.4,13.64,5.69,209.26
7806,Spain,ESP,2017,49.13,18.32,14.4,6.08,175.86
7807,Spain,ESP,2018,50.89,34.33,12.74,5.91,207.74
7808,Spain,ESP,2019,55.65,24.65,15.1,5.59,201.98
7809,Spain,ESP,2020,56.44,30.51,20.67,6.17,227.58
8371,Turkey,TUR,1990,0.0,23.15,0.0,0.08,46.46
8372,Turkey,TUR,1991,0.0,22.68,0.0,0.12,45.6
8373,Turkey,TUR,1992,0.0,26.57,0.0,0.120000005,53.38000001
8374,Turkey,TUR,1993,0.0,33.95,0.0,0.14,68.18
8375,Turkey,TUR,1994,0.0,30.59,0.0,0.13,61.44
8376,Turkey,TUR,1995,0.0,35.54,0.0,0.31,71.7
8377,Turkey,TUR,1996,0.0,40.47,0.0,0.26,81.46
8378,Turkey,TUR,1997,0.0,39.82,0.0,0.37,80.38
8379,Turkey,TUR,1998,0.0,42.23,0.0,0.32999998,85.11999995999999
8380,Turkey,TUR,1999,0.02,34.68,0.0,0.21,69.82000000000001
8381,Turkey,TUR,2000,0.03,30.88,0.0,0.25,62.32
8382,Turkey,TUR,2001,0.06,24.01,0.0,0.27,48.68
8383,Turkey,TUR,2002,0.05,33.68,0.0,0.22999999,67.91999998
8384,Turkey,TUR,2003,0.06,35.33,0.0,0.17,71.12
8385,Turkey,TUR,2004,0.06,46.08,0.0,0.17,92.62
8386,Turkey,TUR,2005,0.06,39.56,0.0,0.120000005,79.48000001000001
8387,Turkey,TUR,2006,0.13,44.24,0.0,0.15,89.04
8388,Turkey,TUR,2007,0.36,35.85,0.0,0.25,72.92
8389,Turkey,TUR,2008,0.85,33.27,0.0,0.3,68.84
8390,Turkey,TUR,2009,1.5,35.96,0.0,0.69,76.3
8391,Turkey,TUR,2010,2.92,51.8,0.0,1.0,111.44
8392,Turkey,TUR,2011,4.72,52.34,0.0,1.03,116.18
8393,Turkey,TUR,2012,5.86,57.86,0.0,1.49,130.42
8394,Turkey,TUR,2013,7.56,59.42,0.0,2.24,138.44
8395,Turkey,TUR,2014,8.52,40.64,0.02,3.44,105.24
8396,Turkey,TUR,2015,11.65,67.15,0.19,4.66,167.3
8397,Turkey,TUR,2016,15.52,67.23,1.04,6.4500003,180.4800006
8398,Turkey,TUR,2017,17.9,58.22,2.89,8.23,174.48000000000002
8399,Turkey,TUR,2018,19.86,59.75,7.8,9.41,193.64
8400,Turkey,TUR,2019,21.63,88.64,9.57,11.629999,262.939998
8401,Turkey,TUR,2020,24.61,77.86,11.2,13.66,254.66
8633,United Kingdom,GBR,1990,0.01,5.12,0.0,0.6,11.46
8634,United Kingdom,GBR,1991,0.01,4.54,0.0,0.69,10.48
8635,United Kingdom,GBR,1992,0.03,5.35,0.0,0.93,12.62
8636,United Kingdom,GBR,1993,0.22,4.3,0.0,1.2,11.44
8637,United Kingdom,GBR,1994,0.34,5.12,0.0,1.52,13.96
8638,United Kingdom,GBR,1995,0.39,4.65,0.0,1.64,13.36
8639,United Kingdom,GBR,1996,0.49,3.4,0.0,1.8,11.38
8640,United Kingdom,GBR,1997,0.67,4.4,0.0,2.11,14.36
8641,United Kingdom,GBR,1998,0.88,5.12,0.0,2.65,17.3
8642,United Kingdom,GBR,1999,0.85,5.34,0.0,3.43,19.24
8643,United Kingdom,GBR,2000,0.94,5.09,0.0,3.88,19.82
8644,United Kingdom,GBR,2001,0.96,4.05,0.0,4.53,19.08
8645,United Kingdom,GBR,2002,1.25,4.79,0.0,5.08,22.24
8646,United Kingdom,GBR,2003,1.29,3.23,0.0,6.17,21.38
8647,United Kingdom,GBR,2004,1.94,4.84,0.0,7.36,28.28
8648,United Kingdom,GBR,2005,2.9,4.92,0.01,9.1,33.86
8649,United Kingdom,GBR,2006,4.22,4.59,0.01,9.28,36.2
8650,United Kingdom,GBR,2007,5.27,5.08,0.01,9.32,39.36
8651,United Kingdom,GBR,2008,7.13,5.14,0.02,9.65,43.88
8652,United Kingdom,GBR,2009,9.28,5.23,0.02,10.71,50.48
8653,United Kingdom,GBR,2010,10.29,3.59,0.04,12.26,52.36
8654,United Kingdom,GBR,2011,15.96,5.69,0.24,13.31,70.4
8655,United Kingdom,GBR,2012,19.84,5.31,1.35,14.74,82.48
8656,United Kingdom,GBR,2013,28.4,4.7,2.01,18.1,106.42
8657,United Kingdom,GBR,2014,31.95,5.89,4.05,22.62,129.01999999999998
8658,United Kingdom,GBR,2015,40.27,6.3,7.53,29.26,166.72
8659,United Kingdom,GBR,2016,37.16,5.37,10.41,30.07,166.01999999999998
8660,United Kingdom,GBR,2017,49.65,5.88,11.46,31.9,197.78
8661,United Kingdom,GBR,2018,56.91,5.44,12.67,34.989998,220.019996
8662,United Kingdom,GBR,2019,63.84,5.93,12.42,37.41,239.2
8663,United Kingdom,GBR,2020,75.38,6.86,12.9,39.5261,269.3322
8674,United States,USA,1990,2.8167677,292.2809,0.37079495,57.459316,705.8555573
8675,United States,USA,1991,2.9807587,287.32602,0.4782529,60.55176,702.6735832
8676,United States,USA,1992,2.9166899,251.42567,0.40884447,64.815414,639.13323674
8677,United States,USA,1993,3.0361888,279.25095,0.47516188,66.92472,699.3740413599999
8678,United States,USA,1994,3.4819283,259.3413,0.5018728,66.35486,659.3599222
8679,United States,USA,1995,3.1962152,311.21982,0.5144716,63.26508,756.3911736
8680,United States,USA,1996,3.2667363,347.54947,0.54134125,64.82596,832.3670151
8681,United States,USA,1997,3.3212476,355.9731,0.5326957,65.82008,851.2942466
8682,United States,USA,1998,3.0562587,322.08926,0.52465934,65.61713,782.5746160800002
8683,United States,USA,1999,4.5333314,316.6052,0.5183421,66.47772,776.2691870000002
8684,United States,USA,2000,5.59,270.03,0.49,74.82,701.8599999999999
8685,United States,USA,2001,6.74,208.14,0.54,64.64,560.12
8686,United States,USA,2002,10.35,255.59,0.55,69.85,672.6800000000001
8687,United States,USA,2003,11.19,267.27,0.53,70.19,698.3599999999999
8688,United States,USA,2004,14.14,259.93,0.58,70.490005,690.28001
8689,United States,USA,2005,17.81,263.76,0.55,70.92,706.08
8690,United States,USA,2006,26.59,282.69,0.51,71.37,762.32
8691,United States,USA,2007,34.45,240.61,0.61,72.240005,695.82001
8692,United States,USA,2008,55.36,248.54,0.86,72.35,754.22
8693,United States,USA,2009,73.89,268.82,0.89,71.96,831.12
8694,United States,USA,2010,94.65,254.7,1.21,73.92,848.96
8695,United States,USA,2011,120.18,312.93,1.82,74.81,1019.48
8696,United States,USA,2012,140.82,271.29,4.33,75.88,984.64
8697,United States,USA,2013,167.84,263.88,9.04,79.62,1040.7600000000002
8698,United States,USA,2014,181.65,253.19,28.92,83.07,1093.66
8699,United States,USA,2015,190.72,243.99,39.03,82.75,1112.98
8700,United States,USA,2016,226.99,261.13,54.87,81.92,1249.82
8701,United States,USA,2017,254.3,293.84,77.28,81.770004,1414.3800079999999
8702,United States,USA,2018,272.67,286.62,93.36,80.520004,1466.340008
8703,United States,USA,2019,295.88,282.61,106.89,75.38,1521.52
8704,United States,USA,2020,337.94,279.95,130.72,72.79,1642.8
