,year,region,christianity_all,judaism_all,islam_all,buddhism_all,hinduism_all,noreligion_all,religion_all,population,world_population,christianity_percent,judaism_percent,islam_percent,buddhism_percent,hinduism_percent,noreligion_percent,Unnamed: 17,worldpopulation_percent,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75
35,1980,Africa,187105025,203504,96325201,24583,1245049,1416658,354313342,355730000,4413000000,0.526,0.0006,0.2708,0.0001,0.0035,0.004,,0.0806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1980,Asia,154724504,96410,283527127,295618106,534285058,507413215,1879968273,2313547024,4413000000,0.0669,0.0,0.1226,0.1278,0.2309,0.2193,,0.5243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1980,Mideast,10802596,3408403,223454022,9566,31300,235999,243763001,243999000,4413000000,0.0443,0.014,0.9158,0.0,0.0001,0.001,,0.0553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1980,Europe,497039880,4527066,40611837,1064453,452955,192888938,557190400,750079338,4413000000,0.6626,0.006,0.0541,0.0014,0.0006,0.2572,,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1980,America,542406604,8371612,3221290,1685408,1580032,35846456,575371524,602026000,4413000000,0.901,0.0139,0.0054,0.0028,0.0026,0.0595,,0.1364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1985,Africa,228658879,164828,125892684,72574,1463736,2149016,430294984,432444000,4834000000,0.5288,0.0004,0.2911,0.0002,0.0034,0.005,,0.0895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,1985,Asia,175024514,100490,313273334,334462502,598009426,542261654,2061398034,2525823952,4834000000,0.0693,0.0,0.124,0.1324,0.2368,0.2147,,0.5225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,1985,Mideast,11187498,3630574,262830380,35000,82000,22000,285507000,285529000,4834000000,0.0392,0.0127,0.9205,0.0001,0.0003,0.0001,,0.0591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,1985,Europe,496457481,4364409,42150125,1086688,474973,210577941,558898464,769476405,4834000000,0.6452,0.0057,0.0548,0.0014,0.0006,0.2737,,0.1592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,1985,America,595590679,8522694,2982068,2013925,1592400,33185698,632346323,655792000,4834000000,0.9082,0.013,0.0045,0.0031,0.0024,0.0506,,0.1357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,1990,Africa,265493449,142152,135413988,100263,1762136,2896489,480926511,483823000,5313000000,0.5487,0.0003,0.2799,0.0002,0.0036,0.006,,0.0911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,1990,Asia,222571100,104493,508795898,371399010,656018252,561364124,2456127621,2937844992,5313000000,0.0758,0.0,0.1732,0.1264,0.2233,0.1911,,0.553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,1990,Mideast,16072151,3746388,308955332,114686,318199,1641499,336312501,337954000,5313000000,0.0476,0.0111,0.9142,0.0003,0.0009,0.0049,,0.0636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,1990,Europe,547627544,4094416,43630843,1260132,545390,236076477,609866242,845942719,5313000000,0.6474,0.0048,0.0516,0.0015,0.0006,0.2791,,0.1592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,1990,America,643316975,6782098,2884257,2373664,1205851,36292691,679982690,707106969,5313000000,0.9098,0.0096,0.0041,0.0034,0.0017,0.0513,,0.1331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,1995,Africa,314790124,121360,163595753,66300,1317227,5092209,560565791,565658000,5670000000,0.5565,0.0002,0.2892,0.0001,0.0023,0.009,,0.0998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
